 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0155     04      0    0   00111110 1111                                      
 0156     05      0    0   00111110 1111                                      
 0157     06      0    0   00111110 1111                                      
 0158     07      0    0   00111110 1111                                      
 0159     08      0    0   00111110 1111                                      
 0160     09      0    0   00111110 1111                                      
 0161     0A      0    0   00111110 1111                                      
 0162     0B      0    0   00111110 1111                                      
 0163     0C      0    0   00111110 1111                                      
 0164     03      F    0   00111110 1111                                      
 0165     04      F    0   00111110 1111                                      
 0166     05      F    0   00111110 1111                                      
 0167     06      F    0   00111110 1111                                      
 0168     07      F    0   00111110 1111                                      
 0169     08      F    0   00111110 1111                                      
 0170     09      F    0   00111110 1111                                      
 0171     0A      F    0   00111110 1111                                      
 0172     0B      F    0   00111110 1111                                      
 0173     0C      F    0   00111110 1111                                      
 0174     03      0    0   11111110 1111                                      
 0175     04      0    0   11111110 1111                                      
 0176     05      0    0   11111110 1111                                      
 0177     06      0    0   11111110 1111                                      
 0178     07      0    0   11111110 1111                                      
 0179     08      0    0   11111110 1111                                      
 0180     09      0    0   11111110 1111                                      
 0181     0A      0    0   11111110 1111                                      
 0182     0B      0    0   11111110 1111                                      
 0183     0C      0    0   11111110 1111                                      
 0184     03      F    0   11111110 1111                                      
 0185     04      F    0   11111110 1111                                      
 0186     05      F    0   11111110 1111                                      
 0187     06      F    0   11111110 1111                                      
 0188     07      F    0   11111110 1111                                      
 0189     08      F    0   11111110 1111                                      
 0190     09      F    0   11111110 1111                                      
 0191     0A      F    0   11111110 1111                                      
 0192     0B      F    0   11111110 1111                                      
 0193     0C      F    0   11111110 1111                                      
 0194     03      F    1   00111101 1111                                      
 0195     04      F    1   00111101 1111                                      
 0196     05      F    1   00111101 1111                                      
 0197     06      F    1   00111101 1111                                      
 0198     07      F    1   00111101 1111                                      
 0199     08      F    1   00111101 1111                                      
 0200     09      F    1   00111101 1111                                      
 0201     0A      F    1   00111101 1111                                      
