 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0155     01      B    1   00111101 1111                                      
 0156     02      B    1   00111101 1111                                      
 0157     03      F    1   00111101 1111                                      
 0158     04      F    1   00111101 1111                                      
 0159     05      F    1   00111101 1111                                      
 0160     06      F    1   00111101 1111                                      
 0161     07      F    1   00111101 1111                                      
 0162     08      F    1   00111101 1111                                      
 0163     09      F    1   00111101 1111                                      
 0164     0A      F    1   00111101 1111                                      
 0165     0B      1    1   00111101 1111                                      
 0166     0C      0    1   00111101 1111                                      
 0167     01      0    1   00111101 1111                                      
 0168     02      0    1   11111101 1111                                      
 0169     03      0    1   11111101 1111                                      
 0170     04      0    1   11111101 1111                                      
 0171     05      0    1   11111101 1111                                      
 0172     06      8    1   11111101 1111                                      
 0173     07      0    1   11111101 1111                                      
 0174     08      0    1   11111101 1111                                      
 0175     09      0    1   11111101 1111                                      
 0176     0A      0    1   11111101 1111                                      
 0177     0B      4    1   11111101 1111                                      
 0178     0C      4    1   11111101 1111                                      
 0179     01      B    0   11111110 1111                                      
 0180     02      B    0   11111110 1111                                      
 0181     03      F    0   11111110 1111                                      
 0182     04      F    0   11111110 1111                                      
 0183     05      F    0   11111110 1111                                      
 0184     06      F    0   00111110 1111                                      
 0185     07      F    0   00111110 1111                                      
 0186     08      F    0   00111110 1111                                      
 0187     09      F    0   00111110 1111                                      
 0188     0A      F    0   00111110 1111                                      
 0189     0B      F    0   00111110 1111                                      
 0190     0C      F    0   00111110 1111                                      
 0191     01      0    0   00111110 1111                                      
 0192     02      0    0   00111110 1111                                      
 0193     03      0    0   00111110 1111                                      
 0194     04      0    0   00111110 1111                                      
 0195     05      0    0   00111110 1111                                      
 0196     06      0    0   00111110 1111                                      
 0197     07      0    0   00111110 1111                                      
 0198     08      0    0   00111110 1111                                      
 0199     09      0    0   11111110 1111                                      
 0200     0A      8    0   11111110 1111                                      
 0201     0B      0    0   11111110 1111                                      
 0202     0C      0    0   11111110 1111                                      
 0203     0A      E    1   11111101 1111                                      
 0204     0A      5    1   11111101 1111                                      
 0205     0A      F    1   11111101 1111                                      
 0206     0A      0    1   11111101 1111                                      
 0207     0A      0    1   11111101 1111                                      
 0208     0A      4    1   00111101 1111                                      
 0209     0B      6    1   00111101 1111                                      
 0210     0C      0    1   00111101 1111                                      
 0211     04      2    1   00111111 1111                                      
 0212     05      4    1   00111111 1111                                      
 0213     03      F    0   00111110 1111                                      
 0214     04      F    0   00111110 1111                                      
 0215     05      F    0   00111110 1111                                      
 0216     06      F    0   00111110 1111                                      
 0217     07      F    0   00111110 1111                                      
 0218     08      F    0   00111110 1111                                      
 0219     09      F    0   00111110 1111                                      
 0220     0A      2    0   00111110 1111                                      
 0221     0A      2    0   00111110 1111                                      
 0222     0B      1    0   00111110 1111                                      
 0223     0C      0    0   00111110 1111                                      
 0224     03      0    0   11111110 1111                                      
 0225     04      0    0   11111110 1111                                      
 0226     05      0    0   11111110 1111                                      
 0227     06      0    0   11111110 1111                                      
 0228     07      0    0   11111110 1111                                      
 0229     08      0    0   11111110 1111                                      
 0230     09      0    0   11111110 1111                                      
 0231     0A      4    0   11111110 1111                                      
 0232     0B      4    0   11111110 1111                                      
 0233     0C      4    0   11111110 1111                                      
 0234     06      F    1   11111111 1111                                      
 0235     07      F    1   11111111 1111                                      
 0236     01      B    1   11111101 1111                                      
 0237     02      B    1   11111101 1111                                      
 0238     03      F    1   11111101 1111                                      
 0239     04      F    1   11111101 1111                                      
 0240     05      F    1   11111101 1111                                      
 0241     06      F    1   11111101 1111                                      
 0242     07      F    1   11111101 1111                                      
 0243     08      F    1   11111101 1111                                      
 0244     09      F    1   11111101 1111                                      
 0245     0A      2    1   11111101 1111                                      
 0246     0B      1    1   11111101 1111                                      
 0247     0C      0    1   11111101 1111                                      
 0248     01      0    1   00111101 1111                                      
 0249     02      0    1   00111101 1111                                      
 0250     03      0    1   00111101 1111                                      
 0251     04      0    1   00111101 1111                                      
 0252     05      0    1   00111101 1111                                      
 0253     06      8    1   00111101 1111                                      
 0254     07      0    1   00111101 1111                                      
 0255     08      0    1   00111101 1111                                      
 0256     09      0    1   00111101 1111                                      
 0257     0A      4    1   00111101 1111                                      
 0258     0B      4    1   00111101 1111                                      
 0259     0C      4    1   00111101 1111                                      
 0260     01      B    0   00111110 1111                                      
 0261     02      B    0   00111110 1111                                      
 0262     03      F    0   00111110 1111                                      
 0263     04      F    0   11111110 1111                                      
 0264     05      F    0   11111110 1111                                      
 0265     06      F    0   11111110 1111                                      
 0266     07      F    0   11111110 1111                                      
 0267     08      F    0   11111110 1111                                      
 0268     09      F    0   11111110 1111                                      
 0269     0A      F    0   11111110 1111                                      
 0270     0B      F    0   11111110 1111                                      
 0271     0C      F    0   11111110 1111                                      
 0272     01      0    0   11111110 1111                                      
 0273     02      0    0   11111110 1111                                      
 0274     03      0    0   11111110 1111                                      
 0275     04      0    0   11111110 1111                                      
 0276     05      0    0   11111110 1111                                      
 0277     06      0    0   11111110 1111                                      
 0278     07      0    0   00111110 1111                                      
 0279     08      0    0   00111110 1111                                      
 0280     09      0    0   00111110 1111                                      
 0281     0A      8    0   00111110 1111                                      
 0282     0B      0    0   00111110 1111                                      
 0283     0C      0    0   00111110 1111                                      
 0284     09      E    1   00111101 1111                                      
 0285     09      5    1   00111101 1111                                      
 0286     0A      8    1   00111101 1111                                      
 0287     0B      4    1   00111101 1111                                      
 0288     0C      0    1   00111101 1111                                      
 0289     06      3    1   00111111 1111                                      
 0290     07      4    1   00111111 1111                                      
 0291     03      F    0   00111110 1111                                      
 0292     04      F    0   00111110 1111                                      
 0293     05      F    0   00111110 1111                                      
 0294     06      F    0   00111110 1111                                      
 0295     07      F    0   00111110 1111                                      
 0296     08      F    0   00111110 1111                                      
 0297     09      3    0   00111110 1111                                      
 0298     0A      2    0   00111110 1111                                      
 0299     0B      1    0   00111110 1111                                      
 0300     0C      0    0   00111110 1111                                      
 0301     03      0    0   00111110 1111                                      
 0302     04      0    0   00111110 1111                                      
 0303     05      0    0   00111110 1111                                      
 0304     06      0    0   00111110 1111                                      
 0305     07      0    0   00111110 1111                                      
 0306     08      0    0   00111110 1111                                      
 0307     09      4    0   00111110 1111                                      
 0308     0A      4    0   00111110 1111                                      
 0309     0B      4    0   00111110 1111                                      
 0310     0C      4    0   00111110 1111                                      
 0311     08      F    1   00111111 1111                                      
 0312     09      F    1   00111111 1111                                      
 0313     01      B    1   00111101 1111                                      
 0314     02      B    1   00111101 1111                                      
 0315     03      F    1   00111101 1111                                      
 0316     04      F    1   00111101 1111                                      
 0317     05      F    1   00111101 1111                                      
 0318     06      F    1   00111101 1111                                      
 0319     07      F    1   00111101 1111                                      
 0320     08      F    1   00111101 1111                                      
 0321     09      3    1   00111101 1111                                      
 0322     0A      2    1   00111101 1111                                      
 0323     0B      1    1   00111101 1111                                      
 0324     0C      0    1   00111101 1111                                      
 0325     01      0    1   11111101 1111                                      
 0326     02      0    1   11111101 1111                                      
 0327     03      0    1   11111101 1111                                      
 0328     04      0    1   11111101 1111                                      
 0329     05      0    1   11111101 1111                                      
 0330     06      8    1   11111101 1111                                      
 0331     07      0    1   11111101 1111                                      
 0332     08      0    1   11111101 1111                                      
 0333     09      4    1   11111101 1111                                      
 0334     0A      4    1   11111101 1111                                      
 0335     0B      4    1   11111101 1111                                      
 0336     0C      4    1   11111101 1111                                      
 0337     01      B    0   00111110 1111                                      
 0338     02      B    0   00111110 1111                                      
 0339     03      F    0   00111110 1111                                      
 0340     04      F    0   00111110 1111                                      
 0341     05      F    0   00111110 1111                                      
 0342     06      F    0   00111110 1111                                      
 0343     07      F    0   00111110 1111                                      
 0344     08      F    0   00111110 1111                                      
 0345     09      F    0   00111110 1111                                      
 0346     0A      F    0   00111110 1111                                      
 0347     0B      F    0   00111110 1111                                      
 0348     0C      F    0   00111110 1111                                      
 0349     01      0    0   11111110 1111                                      
 0350     02      0    0   11111110 1111                                      
 0351     03      0    0   11111110 1111                                      
 0352     04      0    0   11111110 1111                                      
 0353     05      0    0   11111110 1111                                      
 0354     06      0    0   11111110 1111                                      
 0355     07      0    0   11111110 1111                                      
 0356     08      0    0   11111110 1111                                      
 0357     09      0    0   11111110 1111                                      
 0358     0A      8    0   11111110 1111                                      
 0359     0B      0    0   11111110 1111                                      
 0360     0C      0    0   11111110 1111                                      
 0361     08      E    1   11111101 1111                                      
 0362     08      5    1   00111101 1111                                      
 0363     0A      6    1   11111101 1111                                      
 0364     0B      4    1   11111101 1111                                      
 0365     0C      0    1   00111101 1111                                      
 0366     08      4    1   11111111 1111                                      
 0367     09      4    1   00111111 1111                                      
 0368     03      F    0   11111110 1111                                      
 0369     04      F    0   11111110 1111                                      
 0370     05      F    0   00111110 1111                                      
 0371     06      F    0   00111110 1111                                      
 0372     07      F    0   00111110 1111                                      
 0373     08      4    0   00111110 1111                                      
 0374     09      3    0   00111110 1111                                      
 0375     0A      2    0   00111110 1111                                      
 0376     0B      1    0   00111110 1111                                      
 0377     0C      0    0   00111110 1111                                      
 0378     03      0    0   00111110 1111                                      
 0379     04      0    0   00111110 1111                                      
 0380     05      0    0   00111110 1111                                      
 0381     06      0    0   00111110 1111                                      
 0382     07      0    0   00111110 1111                                      
 0383     08      4    0   00111110 1111                                      
 0384     09      4    0   00111110 1111                                      
 0385     0A      4    0   00111110 1111                                      
 0386     0B      4    0   00111110 1111                                      
 0387     0C      4    0   00111110 1111                                      
 0388     0A      F    1   00111111 1111                                      
 0389     0B      F    1   00111111 1111                                      
 0390     01      B    1   00111101 1111                                      
 0391     02      B    1   00111101 1111                                      
 0392     03      F    1   00111101 1111                                      
 0393     04      F    1   00111101 1111                                      
 0394     05      F    1   00111101 1111                                      
 0395     06      F    1   00111101 1111                                      
 0396     07      F    1   00111101 1111                                      
 0397     08      4    1   00111101 1111                                      
 0398     09      3    1   00111101 1111                                      
 0399     0A      2    1   00111101 1111                                      
 0400     0B      1    1   00111101 1111                                      
 0401     0C      0    1   00111101 1111                                      
 0402     01      0    1   11111101 1111                                      
 0403     02      0    1   11111101 1111                                      
 0404     03      0    1   11111101 1111                                      
 0405     04      0    1   11111101 1111                                      
 0406     05      0    1   11111101 1111                                      
 0407     06      8    1   11111101 1111                                      
 0408     07      0    1   11111101 1111                                      
 0409     08      4    1   11111101 1111                                      
 0410     09      4    1   11111101 1111                                      
 0411     0A      4    1   11111101 1111                                      
 0412     0B      4    1   11111101 1111                                      
 0413     0C      4    1   11111101 1111                                      
 0414     01      B    0   00111110 1111                                      
 0415     02      B    0   00111110 1111                                      
 0416     03      F    0   00111110 1111                                      
 0417     04      F    0   00111110 1111                                      
 0418     05      F    0   00111110 1111                                      
 0419     06      F    0   00111110 1111                                      
 0420     07      F    0   00111110 1111                                      
 0421     08      F    0   00111110 1111                                      
 0422     09      F    0   00111110 1111                                      
 0423     0A      F    0   00111110 1111                                      
 0424     0B      F    0   00111110 1111                                      
 0425     0C      F    0   00111110 1111                                      
 0426     01      0    0   11111110 1111                                      
 0427     02      0    0   11111110 1111                                      
 0428     03      0    0   11111110 1111                                      
 0429     04      0    0   11111110 1111                                      
 0430     05      0    0   11111110 1111                                      
 0431     06      0    0   11111110 1111                                      
 0432     07      0    0   11111110 1111                                      
 0433     08      0    0   11111110 1111                                      
 0434     09      0    0   11111110 1111                                      
 0435     0A      8    0   11111110 1111                                      
 0436     0B      0    0   11111110 1111                                      
 0437     0C      0    0   11111110 1111                                      
 0438     07      E    1   11111101 1111                                      
 0439     07      5    1   11111101 1111                                      
 0440     0A      3    1   11111101 1111                                      
 0441     0B      4    1   00111101 1111                                      
 0442     0C      0    1   00111101 1111                                      
 0443     0A      5    1   00111111 1111                                      
 0444     0B      4    1   00111111 1111                                      
 0445     03      F    0   11111110 1111                                      
 0446     04      F    0   00111110 1111                                      
 0447     05      F    0   00111110 1111                                      
 0448     06      F    0   00111110 1111                                      
 0449     07      5    0   00111110 1111                                      
 0450     08      4    0   00111110 1111                                      
 0451     09      3    0   00111110 1111                                      
 0452     0A      2    0   00111110 1111                                      
 0453     0B      1    0   00111110 1111                                      
 0454     0C      0    0   00111110 1111                                      
 0455     03      0    0   00111110 1111                                      
 0456     04      0    0   00111110 1111                                      
 0457     05      0    0   00111110 1111                                      
 0458     06      0    0   00111110 1111                                      
 0459     07      4    0   00111110 1111                                      
 0460     08      4    0   00111110 1111                                      
 0461     09      4    0   00111110 1111                                      
 0462     0A      4    0   00111110 1111                                      
 0463     0B      4    0   00111110 1111                                      
 0464     0C      4    0   00111110 1111                                      
 0465     0C      F    1   00111111 1111                                      
 0466     0D      F    1   00111111 1111                                      
 0467     01      B    1   00111101 1111                                      
 0468     02      B    1   00111101 1111                                      
 0469     03      F    1   00111101 1111                                      
 0470     04      F    1   00111101 1111                                      
 0471     05      F    1   00111101 1111                                      
 0472     06      F    1   00111101 1111                                      
 0473     07      5    1   00111101 1111                                      
 0474     08      4    1   00111101 1111                                      
 0475     09      3    1   00111101 1111                                      
 0476     0A      2    1   00111101 1111                                      
 0477     0B      1    1   00111101 1111                                      
 0478     0C      0    1   00111101 1111                                      
 0479     01      0    1   11111101 1111                                      
 0480     02      0    1   11111101 1111                                      
 0481     03      0    1   11111101 1111                                      
 0482     04      0    1   11111101 1111                                      
 0483     05      0    1   11111101 1111                                      
 0484     06      8    1   11111101 1111                                      
 0485     07      4    1   11111101 1111                                      
 0486     08      4    1   11111101 1111                                      
 0487     09      4    1   11111101 1111                                      
 0488     0A      4    1   11111101 1111                                      
 0489     0B      4    1   11111101 1111                                      
 0490     0C      4    1   11111101 1111                                      
 0491     01      B    0   00111110 1111                                      
 0492     02      B    0   00111110 1111                                      
 0493     03      F    0   00111110 1111                                      
 0494     04      F    0   00111110 1111                                      
 0495     05      F    0   00111110 1111                                      
 0496     06      F    0   00111110 1111                                      
