 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE    
 0181     74      0    0   0        111110 1111                               
 0182     73      0    0   0        111110 1111                               
 0183     7C      F    0   0        111110 1111                               
 0184     7B      F    0   0        111110 1111                               
 0185     7A      F    0   0        111110 1111                               
 0186     79      F    0   0        111110 1111                               
 0187     78      F    0   0        111110 1111                               
 0188     77      F    0   0        111110 1111                               
 0189     76      F    0   0        111110 1111                               
 0190     75      F    0   0        111110 1111                               
 0191     74      F    0   0        111110 1111                               
 0192     73      F    0   0        111110 1111                               
 0193     7C      F    1   0        111101 1111                               
 0194     7B      F    1   0        111101 1111                               
 0195     7A      F    1   0        111101 1111                               
 0196     79      F    1   0        111101 1111                               
 0197     78      F    1   0        111101 1111                               
 0198     77      F    1   0        111101 1111                               
 0199     76      F    1   0        111101 1111                               
 0200     75      F    1   0        111101 1111                               
 0201     74      F    1   0        111101 1111                               
 0202     73      F    1   0        111101 1111                               
 0203     7E      0    1   0        111101 1111                               
 0204     7D      0    1   0        111101 1111                               
 0205     7C      0    1   0        111101 1111                               
 0206     7B      0    1   0        111101 1111                               
 0207     7A      0    1   0        111101 1111                               
 0208     79      8    1   0        111101 1111                               
 0209     78      0    1   0        111101 1111                               
 0210     77      0    1   0        111101 1111                               
 0211     76      0    1   0        111101 1111                               
 0212     75      0    1   0        111101 1111                               
 0213     74      0    1   0        111101 1111                               
 0214     73      0    1   0        111101 1111                               
 0215     7C      F    0   0        111110 1111                               
 0216     7B      F    0   0        111110 1111                               
 0217     7A      F    0   0        111110 1111                               
 0218     79      F    0   0        111110 1111                               
 0219     78      F    0   0        111110 1111                               
 0220     77      F    0   0        111110 1111                               
 0221     76      F    0   0        111110 1111                               
 0222     75      F    0   0        111110 1111                               
 0223     74      F    0   0        111110 1111                               
 0224     73      F    0   0        111110 1111                               
 0225     7E      0    0   0        111110 1111                               
 0226     7D      0    0   0        111110 1111                               
 0227     7C      0    0   0        111110 1111                               
 0228     7B      0    0   0        111110 1111                               
 0229     7A      0    0   0        111110 1111                               
 0230     79      0    0   0        111110 1111                               
 0231     78      0    0   0        111110 1111                               
 0232     77      0    0   0        111110 1111                               
 0233     76      0    0   0        111110 1111                               
 0234     75      8    0   0        111110 1111                               
 0235     74      0    0   0        111110 1111                               
 0236     73      0    0   0        111110 1111                               
 0237     7C      F    0   0        111110 1111                               
 0238     7B      F    0   0        111110 1111                               
 0239     7A      F    0   0        111110 1111                               
 0240     79      F    0   0        111110 1111                               
 0241     78      F    0   0        111110 1111                               
 0242     77      F    0   0        111110 1111                               
 0243     76      F    0   0        111110 1111                               
 0244     75      F    0   0        111110 1111                               
 0245     74      F    0   0        111110 1111                               
 0246     73      1    0   0        111110 1111                               
 0247     73      1    0   0        111110 1111                               
 0248     7C      0    0   0        111110 1111                               
 0249     7B      0    0   0        111110 1111                               
 0250     7A      0    0   0        111110 1111                               
 0251     79      0    0   0        111110 1111                               
 0252     78      0    0   0        111110 1111                               
 0253     77      0    0   0        111110 1111                               
 0254     76      0    0   0        111110 1111                               
 0255     75      0    0   0        111110 1111                               
 0256     74      0    0   0        111110 1111                               
 0257     73      5    0   0        111110 1111                               
 0258     7C      F    1   0        111101 1111                               
 0259     7B      F    1   0        111101 1111                               
 0260     7A      F    1   0        111101 1111                               
 0261     79      F    1   0        111101 1111                               
 0262     78      F    1   0        111101 1111                               
 0263     77      F    1   0        111101 1111                               
 0264     76      F    1   0        111101 1111                               
 0265     75      F    1   0        111101 1111                               
 0266     74      F    1   0        111101 1111                               
 0267     73      1    1   0        111101 1111                               
 0268     7E      0    1   0        111101 1111                               
 0269     7D      0    1   0        111101 1111                               
 0270     7C      0    1   0        111101 1111                               
 0271     7B      0    1   0        111101 1111                               
 0272     7A      0    1   0        111101 1111                               
 0273     79      8    1   0        111101 1111                               
 0274     78      0    1   0        111101 1111                               
 0275     77      0    1   0        111101 1111                               
 0276     76      0    1   0        111101 1111                               
 0277     75      0    1   0        111101 1111                               
 0278     74      0    1   0        111101 1111                               
 0279     73      5    1   0        111101 1111                               
 0280     7C      F    0   0        111110 1111                               
 0281     7B      F    0   0        111110 1111                               
 0282     7A      F    0   0        111110 1111                               
 0283     79      F    0   0        111110 1111                               
 0284     78      F    0   0        111110 1111                               
 0285     77      F    0   0        111110 1111                               
 0286     76      F    0   0        111110 1111                               
 0287     75      F    0   0        111110 1111                               
 0288     74      F    0   0        111110 1111                               
 0289     73      F    0   0        111110 1111                               
 0290     7E      0    0   0        111110 1111                               
 0291     7D      0    0   0        111110 1111                               
 0292     7C      0    0   0        111110 1111                               
 0293     7B      0    0   0        111110 1111                               
 0294     7A      0    0   0        111110 1111                               
 0295     79      0    0   0        111110 1111                               
 0296     78      0    0   0        111110 1111                               
 0297     77      0    0   0        111110 1111                               
 0298     76      0    0   0        111110 1111                               
 0299     75      8    0   0        111110 1111                               
 0300     74      0    0   0        111110 1111                               
 0301     73      0    0   0        111110 1111                               
 0302     7C      F    0   0        111110 1111                               
 0303     7B      F    0   0        111110 1111                               
 0304     7A      F    0   0        111110 1111                               
 0305     79      F    0   0        111110 1111                               
 0306     78      F    0   0        111110 1111                               
 0307     77      F    0   0        111110 1111                               
 0308     76      F    0   0        111110 1111                               
 0309     75      F    0   0        111110 1111                               
 0310     74      4    0   0        111110 1111                               
 0311     73      1    0   0        111110 1111                               
 0312     7C      0    0   0        111110 1111                               
 0313     7B      0    0   0        111110 1111                               
 0314     7A      0    0   0        111110 1111                               
 0315     79      0    0   0        111110 1111                               
 0316     78      0    0   0        111110 1111                               
 0317     77      0    0   0        111110 1111                               
 0318     76      0    0   0        111110 1111                               
 0319     75      0    0   0        111110 1111                               
 0320     74      4    0   0        111110 1111                               
 0321     73      5    0   0        111110 1111                               
 0322     7C      F    1   0        111101 1111                               
 0323     7B      F    1   0        111101 1111                               
 0324     7A      F    1   0        111101 1111                               
 0325     79      F    1   0        111101 1111                               
 0326     78      F    1   0        111101 1111                               
 0327     77      F    1   0        111101 1111                               
 0328     76      F    1   0        111101 1111                               
 0329     75      F    1   0        111101 1111                               
 0330     74      4    1   0        111101 1111                               
 0331     73      1    1   0        111101 1111                               
 0332     7E      0    1   0        111101 1111                               
 0333     7D      0    1   0        111101 1111                               
 0334     7C      0    1   0        111101 1111                               
 0335     7B      0    1   0        111101 1111                               
 0336     7A      0    1   0        111101 1111                               
 0337     79      8    1   0        111101 1111                               
 0338     78      0    1   0        111101 1111                               
 0339     77      0    1   0        111101 1111                               
 0340     76      0    1   0        111101 1111                               
 0341     75      0    1   0        111101 1111                               
 0342     74      4    1   0        111101 1111                               
 0343     73      5    1   0        111101 1111                               
 0344     7C      F    0   0        111110 1111                               
 0345     7B      F    0   0        111110 1111                               
 0346     7A      F    0   0        111110 1111                               
 0347     79      F    0   0        111110 1111                               
 0348     78      F    0   0        111110 1111                               
 0349     77      F    0   0        111110 1111                               
 0350     76      F    0   0        111110 1111                               
