 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0155     03      F    1   00111101 1111                                      
 0156     04      F    1   00111101 1111                                      
 0157     05      0    1   00111101 1111                                      
 0158     06      F    1   00111101 1111                                      
 0159     07      F    1   00111101 1111                                      
 0160     08      8    1   00111101 1111                                      
 0161     08      8    1   00111101 1111                                      
 0162     09      3    1   00111101 1111                                      
 0163     0A      0    1   00111101 1111                                      
 0164     0B      4    1   00111101 1111                                      
 0165     0C      1    1   00111101 1111                                      
 0166     01      0    1   11111101 1111                                      
 0167     02      0    1   11111101 1111                                      
 0168     03      0    1   11111101 1111                                      
 0169     04      0    1   11111101 1111                                      
 0170     05      3    1   11111101 1111                                      
 0171     06      C    1   11111101 1111                                      
 0172     07      0    1   11111101 1111                                      
 0173     08      5    1   11111101 1111                                      
 0174     09      4    1   11111101 1111                                      
 0175     0A      4    1   11111101 1111                                      
 0176     0B      4    1   11111101 1111                                      
 0177     0C      5    1   11111101 1111                                      
 0178     01      B    0   00111110 1111                                      
 0179     02      B    0   00111110 1111                                      
 0180     03      F    0   00111110 1111                                      
 0181     04      F    0   00111110 1111                                      
 0182     05      F    0   00111110 1111                                      
 0183     06      F    0   00111110 1111                                      
 0184     07      F    0   00111110 1111                                      
 0185     08      F    0   00111110 1111                                      
 0186     09      F    0   00111110 1111                                      
 0187     0A      F    0   00111110 1111                                      
 0188     0B      F    0   00111110 1111                                      
 0189     0C      F    0   00111110 1111                                      
 0190     01      0    0   11111110 1111                                      
 0191     02      0    0   11111110 1111                                      
 0192     03      0    0   11111110 1111                                      
 0193     04      0    0   11111110 1111                                      
 0194     05      0    0   11111110 1111                                      
 0195     06      0    0   11111110 1111                                      
 0196     07      0    0   11111110 1111                                      
 0197     08      0    0   11111110 1111                                      
 0198     09      0    0   11111110 1111                                      
 0199     0A      8    0   11111110 1111                                      
 0200     0B      0    0   11111110 1111                                      
 0201     0C      0    0   11111110 1111                                      
 0202     0A      2    1   11111101 1111                                      
 0203     0B      4    1   11111101 1111                                      
 0204     0C      1    1   11111101 1111                                      
 0205     01      B    1   00111101 1111                                      
 0206     02      B    1   00111101 1111                                      
 0207     03      F    1   00111101 1111                                      
 0208     04      F    1   00111101 1111                                      
 0209     05      0    1   00111101 1111                                      
 0210     06      F    1   00111101 1111                                      
 0211     07      F    1   00111101 1111                                      
 0212     08      8    1   00111101 1111                                      
 0213     08      8    1   00111101 1111                                      
 0214     09      3    1   00111101 1111                                      
 0215     0A      0    1   11111101 1111                                      
 0216     0B      4    1   11111101 1111                                      
 0217     0C      1    1   11111101 1111                                      
 0218     01      0    1   11111101 1111                                      
 0219     02      0    1   11111101 1111                                      
 0220     03      0    1   11111101 1111                                      
 0221     04      0    1   11111101 1111                                      
 0222     05      3    1   11111101 1111                                      
 0223     06      C    1   11111101 1111                                      
 0224     07      0    1   11111101 1111                                      
 0225     08      5    1   11111101 1111                                      
 0226     09      4    1   11111101 1111                                      
 0227     0A      4    1   11111101 1111                                      
 0228     0B      4    1   11111101 1111                                      
 0229     0C      5    1   11111101 1111                                      
 0230     01      A    0   00111110 1111                                      
 0231     02      B    0   00111110 1111                                      
 0232     03      F    0   00111110 1111                                      
 0233     04      F    0   00111110 1111                                      
 0234     05      F    0   00111110 1111                                      
 0235     06      F    0   00111110 1111                                      
 0236     07      F    0   00111110 1111                                      
 0237     08      F    0   00111110 1111                                      
 0238     09      F    0   00111110 1111                                      
 0239     0A      F    0   00111110 1111                                      
 0240     0B      F    0   00111110 1111                                      
 0241     0C      F    0   00111110 1111                                      
 0242     01      0    0   11111110 1111                                      
 0243     02      0    0   11111110 1111                                      
 0244     03      0    0   11111110 1111                                      
 0245     04      0    0   11111110 1111                                      
 0246     05      0    0   11111110 1111                                      
 0247     06      0    0   11111110 1111                                      
 0248     07      0    0   11111110 1111                                      
 0249     08      0    0   11111110 1111                                      
 0250     09      0    0   11111110 1111                                      
 0251     0A      8    0   11111110 1111                                      
 0252     0B      0    0   11111110 1111                                      
 0253     0C      0    0   11111110 1111                                      
 0254     01      B    1   11111101 1111                                      
 0255     02      B    1   11111101 1111                                      
 0256     03      F    1   11111101 1111                                      
 0257     04      F    1   11111101 1111                                      
 0258     05      0    1   11111101 1111                                      
 0259     06      F    1   11111101 1111                                      
 0260     07      F    1   11111101 1111                                      
 0261     08      8    1   11111101 1111                                      
 0262     08      8    1   11111101 1111                                      
 0263     09      3    1   11111101 1111                                      
 0264     0A      0    1   11111101 1111                                      
 0265     0B      4    1   11111101 1111                                      
 0266     0C      1    1   11111101 1111                                      
 0267     01      0    1   11111101 1111                                      
 0268     02      0    1   00111101 1111                                      
 0269     03      0    1   00111101 1111                                      
 0270     04      0    1   00111101 1111                                      
 0271     05      3    1   00111101 1111                                      
 0272     06      C    1   00111101 1111                                      
 0273     07      0    1   00111101 1111                                      
 0274     08      5    1   00111101 1111                                      
 0275     09      4    1   00111101 1111                                      
 0276     0A      4    1   00111101 1111                                      
 0277     0B      C    1   00111101 1111                                      
 0278     0C      5    1   00111101 1111                                      
 0279     01      B    0   00111110 1111                                      
 0280     02      B    0   00111110 1111                                      
 0281     03      F    0   00111110 1111                                      
 0282     04      F    0   00111110 1111                                      
 0283     05      F    0   00111110 1111                                      
 0284     06      F    0   11111110 1111                                      
 0285     07      F    0   11111110 1111                                      
 0286     08      F    0   11111110 1111                                      
 0287     09      F    0   11111110 1111                                      
 0288     0A      F    0   11111110 1111                                      
 0289     0B      F    0   11111110 1111                                      
 0290     0C      F    0   11111110 1111                                      
 0291     01      0    0   11111110 1111                                      
 0292     02      0    0   11111110 1111                                      
 0293     03      0    0   11111110 1111                                      
 0294     04      0    0   11111110 1111                                      
 0295     05      0    0   11111110 1111                                      
 0296     06      0    0   11111110 1111                                      
 0297     07      0    0   11111110 1111                                      
 0298     08      0    0   11111110 1111                                      
 0299     09      0    0   00111110 1111                                      
 0300     0A      8    0   00111110 1111                                      
 0301     0B      0    0   00111110 1111                                      
 0302     0C      0    0   00111110 1111                                      
 0303     0A      1    1   11111101 1111                                      
 0304     0B      7    1   11111101 1111                                      
 0305     0C      0    1   11111101 1111                                      
 0306     01      B    1   11111101 1111                                      
 0307     02      B    1   11111101 1111                                      
 0308     03      F    1   11111101 1111                                      
 0309     04      F    1   11111101 1111                                      
 0310     05      0    1   11111101 1111                                      
 0311     06      F    1   11111101 1111                                      
 0312     07      F    1   11111101 1111                                      
 0313     08      8    1   11111101 1111                                      
 0314     09      3    1   11111101 1111                                      
 0315     0A      0    1   11111101 1111                                      
 0316     0B      4    1   11111101 1111                                      
 0317     0C      1    1   11111101 1111                                      
 0318     01      0    1   00111101 1111                                      
 0319     02      0    1   00111101 1111                                      
 0320     03      0    1   00111101 1111                                      
 0321     04      0    1   00111101 1111                                      
 0322     05      3    1   00111101 1111                                      
 0323     06      C    1   00111101 1111                                      
 0324     07      0    1   00111101 1111                                      
 0325     08      5    1   00111101 1111                                      
 0326     09      4    1   00111101 1111                                      
 0327     0A      4    1   00111101 1111                                      
 0328     0B      C    1   00111101 1111                                      
 0329     0C      5    1   00111101 1111                                      
 0330     01      A    0   11111110 1111                                      
 0331     02      B    0   11111110 1111                                      
 0332     03      F    0   11111110 1111                                      
 0333     04      F    0   11111110 1111                                      
 0334     05      F    0   11111110 1111                                      
 0335     06      F    0   11111110 1111                                      
 0336     07      F    0   11111110 1111                                      
 0337     08      F    0   11111110 1111                                      
 0338     09      F    0   11111110 1111                                      
 0339     0A      F    0   11111110 1111                                      
 0340     0B      F    0   11111110 1111                                      
 0341     0C      F    0   11111110 1111                                      
 0342     01      0    0   00111110 1111                                      
 0343     02      0    0   00111110 1111                                      
 0344     03      0    0   00111110 1111                                      
 0345     04      0    0   00111110 1111                                      
 0346     05      0    0   00111110 1111                                      
 0347     06      0    0   00111110 1111                                      
 0348     07      0    0   00111110 1111                                      
 0349     08      0    0   00111110 1111                                      
 0350     09      0    0   00111110 1111                                      
 0351     0A      8    0   00111110 1111                                      
 0352     0B      0    0   00111110 1111                                      
 0353     0C      0    0   00111110 1111                                      
 0354     01      B    1   11111101 1111                                      
 0355     02      B    1   11111101 1111                                      
 0356     03      F    1   11111101 1111                                      
 0357     04      F    1   11111101 1111                                      
 0358     05      0    1   11111101 1111                                      
 0359     06      F    1   11111101 1111                                      
 0360     07      F    1   11111101 1111                                      
 0361     08      8    1   11111101 1111                                      
 0362     09      3    1   11111101 1111                                      
 0363     0A      0    1   11111101 1111                                      
 0364     0B      4    1   11111101 1111                                      
 0365     0C      1    1   11111101 1111                                      
 0366     01      0    1   00111101 1111                                      
 0367     02      0    1   00111101 1111                                      
 0368     03      0    1   00111101 1111                                      
 0369     04      0    1   00111101 1111                                      
 0370     05      3    1   00111101 1111                                      
 0371     06      C    1   00111101 1111                                      
 0372     07      0    1   00111101 1111                                      
 0373     08      5    1   00111101 1111                                      
 0374     09      4    1   00111101 1111                                      
 0375     0A      4    1   00111101 1111                                      
 0376     0B      4    1   00111101 1111                                      
 0377     0C      5    1   00111101 1111                                      
 0378     01      B    0   11111110 1111                                      
 0379     02      B    0   11111110 1111                                      
 0380     03      F    0   11111110 1111                                      
 0381     04      F    0   11111110 1111                                      
 0382     05      F    0   11111110 1111                                      
 0383     06      F    0   11111110 1111                                      
 0384     07      F    0   11111110 1111                                      
 0385     08      F    0   11111110 1111                                      
 0386     09      F    0   11111110 1111                                      
 0387     0A      F    0   11111110 1111                                      
 0388     0B      F    0   11111110 1111                                      
 0389     0C      F    0   11111110 1111                                      
 0390     01      0    0   00111110 1111                                      
 0391     02      0    0   00111110 1111                                      
 0392     03      0    0   00111110 1111                                      
 0393     04      0    0   00111110 1111                                      
 0394     05      0    0   00111110 1111                                      
 0395     06      0    0   00111110 1111                                      
 0396     07      0    0   00111110 1111                                      
 0397     08      0    0   00111110 1111                                      
 0398     09      0    0   00111110 1111                                      
 0399     0A      8    0   00111110 1111                                      
 0400     0B      0    0   00111110 1111                                      
 0401     0C      0    0   00111110 1111                                      
 0402     0A      6    1   00111101 1111                                      
 0403     0B      2    1   00111101 1111                                      
 0404     0C      1    1   00111101 1111                                      
 0405     01      B    1   11111101 1111                                      
 0406     02      B    1   11111101 1111                                      
 0407     03      F    1   11111101 1111                                      
 0408     04      F    1   11111101 1111                                      
 0409     05      0    1   11111101 1111                                      
 0410     06      F    1   11111101 1111                                      
 0411     07      F    1   11111101 1111                                      
 0412     08      8    1   11111101 1111                                      
 0413     08      8    1   11111101 1111                                      
 0414     09      3    1   11111101 1111                                      
 0415     0A      0    1   11111101 1111                                      
 0416     0B      4    1   11111101 1111                                      
 0417     0C      1    1   00111101 1111                                      
 0418     01      0    1   00111101 1111                                      
 0419     02      0    1   00111101 1111                                      
 0420     03      0    1   00111101 1111                                      
 0421     04      0    1   00111101 1111                                      
 0422     05      3    1   00111101 1111                                      
 0423     06      C    1   00111101 1111                                      
 0424     07      0    1   00111101 1111                                      
 0425     07      0    1   00111101 1111                                      
 0426     08      5    1   00111101 1111                                      
 0427     09      4    1   00111101 1111                                      
 0428     0A      4    1   00111101 1111                                      
 0429     0B      4    1   00111101 1111                                      
 0430     0C      5    1   00111101 1111                                      
 0431     01      A    0   11111110 1111                                      
 0432     02      B    0   11111110 1111                                      
 0433     03      F    0   11111110 1111                                      
 0434     04      F    0   11111110 1111                                      
 0435     05      F    0   11111110 1111                                      
 0436     06      F    0   11111110 1111                                      
 0437     07      F    0   11111110 1111                                      
 0438     08      F    0   11111110 1111                                      
 0439     09      F    0   11111110 1111                                      
 0440     0A      F    0   11111110 1111                                      
 0441     0B      F    0   11111110 1111                                      
 0442     0C      F    0   11111110 1111                                      
 0443     01      0    0   00111110 1111                                      
 0444     02      0    0   00111110 1111                                      
 0445     03      0    0   00111110 1111                                      
 0446     04      0    0   00111110 1111                                      
 0447     05      0    0   00111110 1111                                      
 0448     06      0    0   00111110 1111                                      
 0449     07      0    0   00111110 1111                                      
 0450     08      0    0   00111110 1111                                      
 0451     09      0    0   00111110 1111                                      
 0452     0A      8    0   00111110 1111                                      
 0453     0B      0    0   00111110 1111                                      
 0454     0C      0    0   00111110 1111                                      
 0455     01      B    1   00111101 1111                                      
 0456     02      B    1   00111101 1111                                      
 0457     03      F    1   00111101 1111                                      
 0458     04      F    1   00111101 1111                                      
 0459     05      0    1   00111101 1111                                      
 0460     06      F    1   00111101 1111                                      
 0461     07      F    1   00111101 1111                                      
 0462     08      8    1   00111101 1111                                      
 0463     08      8    1   00111101 1111                                      
 0464     09      3    1   00111101 1111                                      
 0465     0A      0    1   00111101 1111                                      
 0466     0B      4    1   00111101 1111                                      
 0467     0C      1    1   00111101 1111                                      
 0468     01      0    1   11111101 1111                                      
 0469     02      0    1   11111101 1111                                      
 0470     03      0    1   11111101 1111                                      
 0471     04      0    1   11111101 1111                                      
 0472     05      3    1   11111101 1111                                      
 0473     06      C    1   11111101 1111                                      
 0474     07      0    1   11111101 1111                                      
 0475     08      5    1   11111101 1111                                      
 0476     09      4    1   11111101 1111                                      
 0477     0A      4    1   11111101 1111                                      
 0478     0B      4    1   11111101 1111                                      
 0479     0C      D    1   11111101 1111                                      
 0480     01      B    0   11111110 1111                                      
 0481     02      B    0   11111110 1111                                      
 0482     03      F    0   11111110 1111                                      
 0483     04      F    0   11111110 1111                                      
 0484     05      F    0   00111110 1111                                      
