 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0197     02      0    0   00111110 1111                                      
 0198     03      0    0   00111110 1111                                      
 0199     04      0    0   11111110 1111                                      
 0200     05      0    0   11111110 1111                                      
 0201     06      0    0   11111110 1111                                      
 0202     07      0    0   11111110 1111                                      
 0203     08      0    0   11111110 1111                                      
 0204     09      0    0   11111110 1111                                      
 0205     0A      8    0   11111110 1111                                      
 0206     0B      0    0   11111110 1111                                      
 0207     0C      0    0   11111110 1111                                      
 0208     0A      E    1   11111101 1111                                      
 0209     0A      5    1   11111101 1111                                      
 0210     0A      F    1   00111101 1111                                      
 0211     0A      0    1   11111101 1111                                      
 0212     0A      0    1   11111101 1111                                      
 0213     0A      E    1   00111101 1111                                      
 0214     0A      5    1   11111101 1111                                      
 0215     0A      F    1   00111101 1111                                      
 0216     0A      0    1   11111101 1111                                      
 0217     0A      0    1   11111101 1111                                      
 0218     0A      2    1   11111101 1111                                      
 0219     0B      7    1   00111101 1111                                      
 0220     0C      1    1   00111101 1111                                      
 0221     04      F    1   00111111 1111                                      
 0222     05      0    1   00111111 1111                                      
 0223     05      0    1   00111111 1111                                      
 0224     03      F    0   11111110 1111                                      
 0225     04      F    0   00111110 1111                                      
 0226     05      F    0   00111110 1111                                      
 0227     06      F    0   00111110 1111                                      
 0228     07      F    0   00111110 1111                                      
 0229     08      F    0   00111110 1111                                      
 0230     09      F    0   00111110 1111                                      
 0231     0A      F    0   00111110 1111                                      
 0232     0B      0    0   00111110 1111                                      
 0233     0C      2    0   00111110 1111                                      
 0234     03      0    0   00111110 1111                                      
 0235     04      0    0   00111110 1111                                      
 0236     05      0    0   00111110 1111                                      
 0237     06      0    0   00111110 1111                                      
 0238     07      0    0   00111110 1111                                      
 0239     08      0    0   00111110 1111                                      
 0240     09      0    0   00111110 1111                                      
 0241     0A      0    0   00111110 1111                                      
 0242     0B      3    0   00111110 1111                                      
 0243     0C      3    0   00111110 1111                                      
 0244     06      F    1   00111111 1111                                      
 0245     07      F    1   00111111 1111                                      
 0246     01      6    1   00111101 1111                                      
 0247     02      1    1   00111101 1111                                      
 0248     03      F    1   00111101 1111                                      
 0249     04      F    1   00111101 1111                                      
 0250     05      F    1   00111101 1111                                      
 0251     06      F    1   00111101 1111                                      
 0252     07      F    1   00111101 1111                                      
 0253     08      F    1   00111101 1111                                      
 0254     09      F    1   00111101 1111                                      
 0255     0A      F    1   00111101 1111                                      
 0256     0B      0    1   00111101 1111                                      
 0257     0C      2    1   00111101 1111                                      
 0258     01      0    1   11111101 1111                                      
 0259     02      0    1   11111101 1111                                      
 0260     03      0    1   11111101 1111                                      
 0261     04      8    1   11111101 1111                                      
 0262     05      0    1   11111101 1111                                      
 0263     06      0    1   11111101 1111                                      
 0264     07      0    1   11111101 1111                                      
 0265     08      0    1   11111101 1111                                      
 0266     09      0    1   11111101 1111                                      
 0267     0A      0    1   11111101 1111                                      
 0268     0B      3    1   11111101 1111                                      
 0269     0C      3    1   11111101 1111                                      
 0270     01      0    0   00111110 1111                                      
 0271     02      8    0   00111110 1111                                      
 0272     03      F    0   00111110 1111                                      
 0273     04      F    0   00111110 1111                                      
 0274     05      F    0   00111110 1111                                      
 0275     06      F    0   00111110 1111                                      
 0276     07      F    0   00111110 1111                                      
 0277     08      F    0   00111110 1111                                      
 0278     09      F    0   00111110 1111                                      
 0279     0A      F    0   00111110 1111                                      
 0280     0B      F    0   00111110 1111                                      
 0281     0C      F    0   00111110 1111                                      
 0282     01      0    0   11111110 1111                                      
 0283     02      0    0   11111110 1111                                      
 0284     03      0    0   11111110 1111                                      
 0285     04      0    0   11111110 1111                                      
 0286     05      0    0   11111110 1111                                      
 0287     06      0    0   11111110 1111                                      
 0288     07      0    0   11111110 1111                                      
 0289     08      0    0   11111110 1111                                      
 0290     09      0    0   11111110 1111                                      
 0291     0A      8    0   11111110 1111                                      
 0292     0B      0    0   11111110 1111                                      
 0293     0C      0    0   11111110 1111                                      
 0294     09      E    1   11111101 1111                                      
 0295     09      5    1   11111101 1111                                      
 0296     09      F    1   11111101 1111                                      
 0297     09      0    1   11111101 1111                                      
 0298     09      0    1   11111101 1111                                      
 0299     09      E    1   11111101 1111                                      
 0300     09      5    1   11111101 1111                                      
 0301     09      F    1   11111101 1111                                      
 0302     09      0    1   11111101 1111                                      
 0303     09      0    1   11111101 1111                                      
 0304     09      E    1   11111101 1111                                      
 0305     09      5    1   11111101 1111                                      
 0306     09      F    1   11111101 1111                                      
 0307     09      0    1   11111101 1111                                      
 0308     09      0    1   11111101 1111                                      
 0309     09      E    1   11111101 1111                                      
 0310     09      5    1   11111101 1111                                      
 0311     09      F    1   11111101 1111                                      
