 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE    
 0000 T   7F      0    0   0        111100 1111                               
 0001     7E      C    0   0        111100 1111                               
 0002     7D      0    0   0        111100 1111                               
 0003     7C      3    0   0        111100 1111                               
 0004     7E      0    0   0        111100 1111                               
 0005     7D      0    0   0        111100 1111                               
 0006     7C      0    0   0        111100 1111                               
 0007     7B      0    0   0        111100 1111                               
 0008     7A      0    0   0        111100 1111                               
 0009     79      0    0   0        111100 1111                               
 0010     78      0    0   0        111100 1111                               
 0011     77      0    0   0        111100 1111                               
 0012     76      0    0   0        111100 1111                               
 0013     75      0    0   0        111100 1111                               
 0014     74      0    0   0        111100 1111                               
 0015     73      0    0   0        111100 1111                               
 0016     7E      0    0   0        111100 1111                               
 0017     7D      0    0   0        111100 1111                               
 0018     7C      0    0   0        111100 1111                               
 0019     7B      0    0   0        111100 1111                               
 0020     7A      0    0   0        111100 1111                               
 0021     79      0    0   0        111100 1111                               
 0022     78      0    0   0        111100 1111                               
 0023     77      0    0   0        111100 1111                               
 0024     76      0    0   0        111100 1111                               
 0025     75      0    0   0        111100 1111                               
 0026     74      0    0   0        111100 1111                               
 0027     73      0    0   0        111100 1111                               
 0028     7F      0    1   0        111101 1111                               
 0029     7E      C    1   0        111101 1111                               
 0030     7D      0    1   0        111101 1111                               
 0031     7C      4    1   0        111101 1111                               
 0032     7B      0    1   0        111101 1111                               
 0033     7A      4    1   0        111101 1111                               
 0034     79      4    1   0        111101 1111                               
 0035     78      1    1   0        111101 1111                               
 0036     77      D    1   0        111101 1111                               
 0037     76      0    1   0        111101 1111                               
 0038     75      6    1   0        111101 1111                               
 0039     74      9    1   0        111101 1111                               
 0040     73      3    1   0        111101 1111                               
 0041     72      F    1   0        111101 1111                               
 0042     71      0    1   0        111101 1111                               
 0043     70      E    1   0        111101 1111                               
 0044     7F      1    1   0        111101 1111                               
 0045     7E      F    1   0        111101 1111                               
 0046     7D      0    1   0        111101 1111                               
 0047     7C      0    1   0        111101 1111                               
 0048     7B      0    1   0        111101 1111                               
 0049     7A      0    1   0        111101 1111                               
 0050     79      2    1   0        111101 1111                               
 0051     78      1    1   0        111101 1111                               
 0052     77      0    1   0        111101 1111                               
 0053     76      6    1   0        111101 1111                               
 0054     75      1    1   0        111101 1111                               
 0055     74      E    1   0        111101 1111                               
 0056     72      0    1   0        111101 1111                               
 0057     71      0    1   0        111101 1111                               
 0058     70      5    1   0        111101 1111                               
 0059     7F      0    1   0        111111 1111                               
 0060     7F      0    1   0        111111 1111                               
 0061     7E      0    1   0        111111 1111                               
 0062     7D      0    1   0        111111 1111                               
 0063     7C      0    1   0        111111 1111                               
 0064     7B      1    1   0        111111 1111                               
 0065     7A      4    1   0        111111 1111                               
 0066     79      4    1   0        111111 1111                               
 0067     78      1    1   0        111111 1111                               
 0068     70      E    1   0        111101 1111                               
 0069     7F      0    1   0        111101 1111                               
 0070     7E      4    1   0        111101 1111                               
 0071     7D      1    1   0        111101 1111                               
 0072     77      5    1   0        111101 1111                               
 0073     76      0    1   0        111101 1111                               
 0074     75      0    1   0        111101 1111                               
 0075     41      F    1   0        111111 1111                               
 0076     40      F    1   0        111111 1111                               
 0077     7F      F    1   0        111101 1111                               
 0078     7E      F    1   0        111101 1111                               
 0079     7D      1    1   0        111101 1111                               
 0080     7C      0    1   0        111101 1111                               
 0081     7B      0    1   0        111101 1111                               
 0082     7A      0    1   0        111101 1111                               
 0083     79      0    1   0        111101 1111                               
 0084     78      4    1   0        111101 1111                               
 0085     77      1    1   0        111101 1111                               
 0086     76      0    1   0        111101 1111                               
 0087     76      6    1   0        111101 1111                               
 0088     75      1    1   0        111101 1111                               
 0089     74      E    1   0        111101 1111                               
 0090     7F      9    1   0        111101 1111                               
 0091     7E      9    1   0        111101 1111                               
 0092     7D      0    1   0        111101 1111                               
 0093     7C      3    1   0        111101 1111                               
 0094     7B      0    1   0        111101 1111                               
 0095     7A      9    1   0        111101 1111                               
 0096     79      1    1   0        111101 1111                               
 0097     78      8    1   0        111101 1111                               
 0098     77      4    1   0        111101 1111                               
 0099     76      4    1   0        111101 1111                               
 0100     75      9    1   0        111101 1111                               
 0101     74      2    1   0        111101 1111                               
 0102     73      4    1   0        111101 1111                               
 0103     72      3    1   0        111101 1111                               
 0104     71      4    1   0        111101 1111                               
 0105     70      0    1   0        111101 1111                               
 0106     7F      0    1   0        111111 1111                               
 0107     7E      0    1   0        111111 1111                               
 0108     7D      0    1   0        111111 1111                               
 0109     7C      0    1   0        111111 1111                               
 0110     7B      1    1   0        111111 1111                               
 0111     7A      9    1   0        111111 1111                               
 0112     79      1    1   0        111111 1111                               
 0113     78      8    1   0        111111 1111                               
 0114     77      0    1   0        111111 1111                               
 0115     77      4    1   0        111111 1111                               
 0116     76      4    1   0        111111 1111                               
 0117     75      9    1   0        111111 1111                               
 0118     74      2    1   0        111111 1111                               
 0119     73      4    1   0        111111 1111                               
 0120     72      3    1   0        111111 1111                               
 0121     71      4    1   0        111111 1111                               
 0122     70      0    1   0        111111 1111                               
 0123     72      0    1   0        111101 1111                               
 0124     78      F    0   0        111110 1111                               
 0125     7F      0    0   0        111110 1111                               
 0126     7A      F    0   0        111110 1111                               
 0127     74      F    0   0        111110 1111                               
 0128     70      F    0   0        111110 1111                               
 0129     7F      1    1   0        111111 1111                               
 0130     7E      5    1   0        111111 1111                               
 0131     7D      4    1   0        111111 1111                               
 0132     7C      4    1   0        111111 1111                               
 0133     7B      0    1   0        111111 1111                               
 0134     7A      4    1   0        111111 1111                               
 0135     79      3    1   0        111111 1111                               
 0136     78      4    1   0        111111 1111                               
 0137     77      8    1   0        111111 1111                               
 0138     76      5    1   0        111111 1111                               
 0139     75      F    1   0        111111 1111                               
 0140     74      0    1   0        111111 1111                               
 0141     73      F    1   0        111111 1111                               
 0142     72      4    1   0        111111 1111                               
 0143     71      0    1   0        111111 1111                               
 0144     70      3    1   0        111111 1111                               
 0145     6F      8    1   0        111111 1111                               
 0146     6E      1    1   0        111111 1111                               
 0147     6D      F    1   0        111111 1111                               
 0148     6C      0    1   0        111111 1111                               
 0149     6C      0    1   0        111111 1111                               
 0150     6F      F    1   0        111111 1111                               
 0151     6E      F    1   0        111111 1111                               
 0152     7C      0    0   0        111110 1111                               
 0153     7B      0    0   0        111110 1111                               
 0154     7A      0    0   0        111110 1111                               
 0155     79      0    0   0        111110 1111                               
 0156     78      0    0   0        111110 1111                               
 0157     77      0    0   0        111110 1111                               
 0158     76      0    0   0        111110 1111                               
 0159     75      0    0   0        111110 1111                               
 0160     74      0    0   0        111110 1111                               
 0161     73      0    0   0        111110 1111                               
 0162     7C      F    0   0        111110 1111                               
 0163     7B      F    0   0        111110 1111                               
 0164     7A      F    0   0        111110 1111                               
 0165     79      F    0   0        111110 1111                               
 0166     78      F    0   0        111110 1111                               
 0167     77      F    0   0        111110 1111                               
 0168     76      F    0   0        111110 1111                               
 0169     75      F    0   0        111110 1111                               
 0170     74      F    0   0        111110 1111                               
 0171     73      F    0   0        111110 1111                               
 0172     7C      0    0   0        111110 1111                               
 0173     7B      0    0   0        111110 1111                               
 0174     7A      0    0   0        111110 1111                               
 0175     79      0    0   0        111110 1111                               
 0176     78      0    0   0        111110 1111                               
 0177     77      0    0   0        111110 1111                               
 0178     76      0    0   0        111110 1111                               
 0179     75      0    0   0        111110 1111                               
 0180     74      0    0   0        111110 1111                               
