 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0147     6C      0    1   0        0111111 1111                              
 0148     6F      F    1   0        1111111 1111                              
 0149     6E      F    1   0        1111111 1111                              
 0150     7C      0    0   0        1111110 1111                              
 0151     7B      0    0   0        1111110 1111                              
 0152     7A      0    0   0        1111110 1111                              
 0153     79      0    0   0        1111110 1111                              
 0154     78      0    0   0        1111110 1111                              
 0155     77      0    0   0        1111110 1111                              
 0156     76      0    0   0        1111110 1111                              
 0157     75      0    0   0        1111110 1111                              
 0158     74      0    0   0        1111110 1111                              
 0159     73      0    0   0        1111110 1111                              
 0160     7C      F    0   0        0111110 1111                              
 0161     7B      F    0   0        0111110 1111                              
 0162     7A      F    0   0        0111110 1111                              
 0163     79      F    0   0        0111110 1111                              
 0164     78      F    0   0        0111110 1111                              
 0165     77      F    0   0        0111110 1111                              
 0166     76      F    0   0        0111110 1111                              
 0167     75      F    0   0        0111110 1111                              
 0168     74      F    0   0        0111110 1111                              
 0169     73      F    0   0        0111110 1111                              
 0170     7C      0    0   0        0111110 1111                              
 0171     7B      0    0   0        0111110 1111                              
 0172     7A      0    0   0        0111110 1111                              
 0173     79      0    0   0        0111110 1111                              
 0174     78      0    0   0        0111110 1111                              
 0175     77      0    0   0        0111110 1111                              
 0176     76      0    0   0        0111110 1111                              
 0177     75      0    0   0        0111110 1111                              
 0178     74      0    0   0        0111110 1111                              
 0179     73      0    0   0        1111110 1111                              
 0180     7C      F    0   0        1111110 1111                              
 0181     7B      F    0   0        1111110 1111                              
 0182     7A      F    0   0        1111110 1111                              
 0183     79      F    0   0        1111110 1111                              
 0184     78      F    0   0        1111110 1111                              
 0185     77      F    0   0        1111110 1111                              
 0186     76      F    0   0        1111110 1111                              
 0187     75      F    0   0        1111110 1111                              
 0188     74      F    0   0        1111110 1111                              
 0189     73      F    0   0        1111110 1111                              
 0190     7C      F    1   0        1111101 1111                              
 0191     7B      F    1   0        1111101 1111                              
 0192     7A      F    1   0        1111101 1111                              
 0193     79      F    1   0        1111101 1111                              
 0194     78      F    1   0        1111101 1111                              
 0195     77      F    1   0        1111101 1111                              
 0196     76      F    1   0        1111101 1111                              
 0197     75      F    1   0        0111101 1111                              
 0198     74      F    1   0        0111101 1111                              
 0199     73      F    1   0        0111101 1111                              
 0200     7E      0    1   0        0111101 1111                              
 0201     7D      0    1   0        0111101 1111                              
 0202     7C      0    1   0        0111101 1111                              
 0203     7B      0    1   0        0111101 1111                              
 0204     7A      0    1   0        0111101 1111                              
 0205     79      8    1   0        0111101 1111                              
 0206     78      0    1   0        0111101 1111                              
 0207     77      0    1   0        0111101 1111                              
 0208     76      0    1   0        0111101 1111                              
 0209     75      0    1   0        0111101 1111                              
 0210     74      0    1   0        0111101 1111                              
 0211     73      0    1   0        0111101 1111                              
 0212     7C      F    0   0        1111110 1111                              
 0213     7B      F    0   0        1111110 1111                              
 0214     7A      F    0   0        1111110 1111                              
 0215     79      F    0   0        1111110 1111                              
 0216     78      F    0   0        1111110 1111                              
 0217     77      F    0   0        1111110 1111                              
 0218     76      F    0   0        1111110 1111                              
 0219     75      F    0   0        1111110 1111                              
 0220     74      F    0   0        1111110 1111                              
 0221     73      F    0   0        1111110 1111                              
 0222     7E      0    0   0        1111110 1111                              
 0223     7D      0    0   0        1111110 1111                              
 0224     7C      0    0   0        1111110 1111                              
 0225     7B      0    0   0        1111110 1111                              
 0226     7A      0    0   0        1111110 1111                              
 0227     79      0    0   0        1111110 1111                              
 0228     78      0    0   0        1111110 1111                              
 0229     77      0    0   0        1111110 1111                              
 0230     76      0    0   0        0111110 1111                              
 0231     75      8    0   0        0111110 1111                              
 0232     74      0    0   0        0111110 1111                              
 0233     73      0    0   0        0111110 1111                              
 0234     7C      F    0   0        1111110 1111                              
