 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0297     09      0    1   1        11111111 1111                             
 0299     0A      0    1   1        11111111 1111                             
 0301     0B      0    1   1        11111111 1111                             
 0303     03      F    1   1        11111111 1111                             
 0305     04      F    1   1        11111111 1111                             
 0307     05      F    1   1        11111111 1111                             
 0309     06      F    1   1        11111111 1111                             
 0311     07      F    1   1        11111111 1111                             
 0313     08      F    1   1        11111111 1111                             
 0315     09      F    1   1        11111111 1111                             
 0317     0A      F    1   1        11111111 1111                             
 0319     0B      F    1   1        11111111 1111                             
 0321     0C      F    1   1        11111111 1111                             
 0323     09      0    1   1        11111111 1111                             
 0325     0A      0    1   1        11111111 1111                             
 0327     0B      4    1   1        11111111 1111                             
 0329     01      0    1   1        11111111 1111                             
 0331     02      0    1   1        11111111 1111                             
 0333     03      0    1   1        11111111 1111                             
 0335     04      0    1   1        11111111 1111                             
 0337     05      0    1   1        11111111 1111                             
 0339     06      0    1   1        11111111 1111                             
 0341     07      0    1   1        11111111 1111                             
 0343     08      0    1   1        11111111 1111                             
 0345     09      0    1   1        11111111 1111                             
 0347     0A      8    1   1        11111111 1111                             
 0349     0B      0    1   1        11111111 1111                             
 0351     0C      0    1   1        11111111 1111                             
 0353     03      D    1   1        11111111 1111                             
 0355     04      0    1   1        11111111 1111                             
 0357     05      8    1   1        11111111 1111                             
 0359     03      C    1   1        11111111 1111                             
 0361     03      0    1   1        11111111 1111                             
 0363     04      0    1   1        11111111 1111                             
 0365     05      0    1   1        11111111 1111                             
 0367     06      0    1   1        11111111 1111                             
 0369     07      0    1   1        11111111 1111                             
 0371     08      0    1   1        11111111 1111                             
 0373     09      0    1   1        11111111 1111                             
 0375     0A      0    1   1        11111111 1111                             
 0377     0B      0    1   1        11111111 1111                             
 0379     0C      0    1   1        11111111 1111                             
 0381     03      D    1   1        11111111 1111                             
 0383     03      F    1   1        11111111 1111                             
 0385     04      F    1   1        11111111 1111                             
 0387     05      F    1   1        11111111 1111                             
 0389     06      F    1   1        11111111 1111                             
 0391     07      F    1   1        11111111 1111                             
 0393     08      F    1   1        11111111 1111                             
 0395     09      F    1   1        11111111 1111                             
 0397     0A      F    1   1        11111111 1111                             
 0399     0B      F    1   1        11111111 1111                             
 0401     0C      F    1   1        11111111 1111                             
 0403     03      F    1   1        11111111 1111                             
 0405     04      F    1   1        11111111 1111                             
 0407     05      F    1   1        11111111 1111                             
 0409     06      F    1   1        11111111 1111                             
 0411     07      F    1   1        11111111 1111                             
 0413     08      F    1   1        11111111 1111                             
 0415     09      F    1   1        11111111 1111                             
 0417     0A      F    1   1        11111111 1111                             
 0419     0B      F    1   1        11111111 1111                             
 0421     0C      1    1   1        11111111 1111                             
 0423     03      C    1   1        11111111 1111                             
 0425     03      0    1   1        11111111 1111                             
 0427     04      0    1   1        11111111 1111                             
 0429     05      0    1   1        11111111 1111                             
 0431     06      0    1   1        11111111 1111                             
 0433     07      0    1   1        11111111 1111                             
 0435     08      0    1   1        11111111 1111                             
 0437     09      0    1   1        11111111 1111                             
 0439     0A      0    1   1        11111111 1111                             
 0441     0B      0    1   1        11111111 1111                             
 0443     0C      5    1   1        11111111 1111                             
 0445     03      C    1   1        11111111 1111                             
 0447     04      0    1   1        11111111 1111                             
 0449     05      8    1   1        11111111 1111                             
 0451     03      C    1   1        11111111 1111                             
 0453     04      0    1   1        11111111 1111                             
 0455     05      8    1   1        11111111 1111                             
 0457     03      0    1   1        11111111 1111                             
 0459     04      0    1   1        11111111 1111                             
 0461     05      0    1   1        11111111 1111                             
 0463     06      0    1   1        11111111 1111                             
 0465     07      0    1   1        11111111 1111                             
 0467     08      0    1   1        11111111 1111                             
 0469     09      0    1   1        11111111 1111                             
 0471     0A      0    1   1        11111111 1111                             
 0473     0B      0    1   1        11111111 1111                             
 0475     0C      5    1   1        11111111 1111                             
 0477     03      D    1   1        11111111 1111                             
 0479     03      F    1   1        11111111 1111                             
 0481     04      F    1   1        11111111 1111                             
 0483     05      F    1   1        11111111 1111                             
 0485     06      F    1   1        11111111 1111                             
 0487     07      F    1   1        11111111 1111                             
 0489     08      F    1   1        11111111 1111                             
 0491     09      F    1   1        11111111 1111                             
 0493     0A      F    1   1        11111111 1111                             
 0495     0B      F    1   1        11111111 1111                             
 0497     0C      1    1   1        11111111 1111                             
 0499     03      E    1   1        11111111 1111                             
 0501     04      0    1   1        11111111 1111                             
 0503     05      8    1   1        11111111 1111                             
 0505     03      0    1   1        11111111 1111                             
 0507     04      0    1   1        11111111 1111                             
 0509     05      0    1   1        11111111 1111                             
 0511     06      0    1   1        11111111 1111                             
 0513     07      0    1   1        11111111 1111                             
 0515     08      0    1   1        11111111 1111                             
 0517     09      0    1   1        11111111 1111                             
 0519     0A      0    1   1        11111111 1111                             
 0521     0B      0    1   1        11111111 1111                             
 0523     0C      0    1   1        11111111 1111                             
 0525     03      F    1   1        11111111 1111                             
 0527     03      F    1   1        11111111 1111                             
 0529     04      F    1   1        11111111 1111                             
 0531     05      F    1   1        11111111 1111                             
 0533     06      F    1   1        11111111 1111                             
 0535     07      F    1   1        11111111 1111                             
 0537     08      F    1   1        11111111 1111                             
 0539     09      F    1   1        11111111 1111                             
 0541     0A      F    1   1        11111111 1111                             
 0543     0B      F    1   1        11111111 1111                             
 0545     0C      F    1   1        11111111 1111                             
 0547     09      0    1   1        11111111 1111                             
 0549     0A      0    1   1        11111111 1111                             
 0551     0B      0    1   1        11111111 1111                             
 0553     03      F    1   1        11111111 1111                             
 0555     04      F    1   1        11111111 1111                             
 0557     05      F    1   1        11111111 1111                             
 0559     06      F    1   1        11111111 1111                             
 0561     07      F    1   1        11111111 1111                             
 0563     08      F    1   1        11111111 1111                             
 0565     09      F    1   1        11111111 1111                             
 0567     0A      F    1   1        11111111 1111                             
 0569     0B      F    1   1        11111111 1111                             
 0571     0C      F    1   1        11111111 1111                             
 0573     09      0    1   1        11111111 1111                             
 0575     0A      0    1   1        11111111 1111                             
 0577     0B      4    1   1        11111111 1111                             
 0579     01      0    1   1        11111111 1111                             
 0581     02      0    1   1        11111111 1111                             
 0583     03      0    1   1        11111111 1111                             
 0585     04      0    1   1        11111111 1111                             
 0587     05      0    1   1        11111111 1111                             
 0589     06      0    1   1        11111111 1111                             
 0591     07      0    1   1        11111111 1111                             
 0593     08      0    1   1        11111111 1111                             
 0595     09      0    1   1        11111111 1111                             
 0597     0A      8    1   1        11111111 1111                             
 0599     0B      0    1   1        11111111 1111                             
 0601     0C      0    1   1        11111111 1111                             
 0603     03      D    1   1        11111111 1111                             
 0605     04      0    1   1        11111111 1111                             
 0607     05      8    1   1        11111111 1111                             
 0609     03      C    1   1        11111111 1111                             
 0611     03      0    1   1        11111111 1111                             
 0613     04      0    1   1        11111111 1111                             
 0615     05      0    1   1        11111111 1111                             
 0617     06      0    1   1        11111111 1111                             
 0619     07      0    1   1        11111111 1111                             
 0621     08      0    1   1        11111111 1111                             
 0623     09      0    1   1        11111111 1111                             
 0625     0A      0    1   1        11111111 1111                             
 0627     0B      0    1   1        11111111 1111                             
 0629     0C      5    1   1        11111111 1111                             
 0631     03      D    1   1        11111111 1111                             
 0633     03      F    1   1        11111111 1111                             
 0635     04      F    1   1        11111111 1111                             
 0637     05      F    1   1        11111111 1111                             
 0639     06      F    1   1        11111111 1111                             
 0641     07      F    1   1        11111111 1111                             
 0643     08      F    1   1        11111111 1111                             
 0645     09      F    1   1        11111111 1111                             
 0647     0A      F    1   1        11111111 1111                             
 0649     0B      F    1   1        11111111 1111                             
 0651     0C      1    1   1        11111111 1111                             
 0653     03      F    1   1        11111111 1111                             
 0655     04      F    1   1        11111111 1111                             
 0657     05      F    1   1        11111111 1111                             
 0659     06      F    1   1        11111111 1111                             
 0661     07      F    1   1        11111111 1111                             
 0663     08      F    1   1        11111111 1111                             
 0665     09      F    1   1        11111111 1111                             
 0667     0A      F    1   1        11111111 1111                             
 0669     0B      4    1   1        11111111 1111                             
 0671     0C      1    1   1        11111111 1111                             
 0673     03      C    1   1        11111111 1111                             
 0675     03      0    1   1        11111111 1111                             
 0677     04      0    1   1        11111111 1111                             
 0679     05      0    1   1        11111111 1111                             
 0681     06      0    1   1        11111111 1111                             
 0683     07      0    1   1        11111111 1111                             
 0685     08      0    1   1        11111111 1111                             
 0687     09      0    1   1        11111111 1111                             
 0689     0A      0    1   1        11111111 1111                             
 0691     0B      4    1   1        11111111 1111                             
 0693     0C      5    1   1        11111111 1111                             
 0695     03      C    1   1        11111111 1111                             
 0697     04      0    1   1        11111111 1111                             
 0699     05      8    1   1        11111111 1111                             
 0701     03      C    1   1        11111111 1111                             
 0703     04      0    1   1        11111111 1111                             
 0705     05      8    1   1        11111111 1111                             
 0707     03      0    1   1        11111111 1111                             
 0709     04      0    1   1        11111111 1111                             
 0711     05      0    1   1        11111111 1111                             
 0713     06      0    1   1        11111111 1111                             
 0715     07      0    1   1        11111111 1111                             
 0717     08      0    1   1        11111111 1111                             
 0719     09      0    1   1        11111111 1111                             
 0721     0A      0    1   1        11111111 1111                             
 0723     0B      4    1   1        11111111 1111                             
 0725     0C      5    1   1        11111111 1111                             
 0727     03      D    1   1        11111111 1111                             
 0729     03      F    1   1        11111111 1111                             
 0731     04      F    1   1        11111111 1111                             
 0733     05      F    1   1        11111111 1111                             
 0735     06      F    1   1        11111111 1111                             
 0737     07      F    1   1        11111111 1111                             
 0739     08      F    1   1        11111111 1111                             
 0741     09      F    1   1        11111111 1111                             
 0743     0A      F    1   1        11111111 1111                             
 0745     0B      4    1   1        11111111 1111                             
 0747     0C      1    1   1        11111111 1111                             
 0749     03      E    1   1        11111111 1111                             
 0751     04      0    1   1        11111111 1111                             
 0753     05      8    1   1        11111111 1111                             
 0755     03      0    1   1        11111111 1111                             
 0757     04      0    1   1        11111111 1111                             
 0759     05      0    1   1        11111111 1111                             
 0761     06      0    1   1        11111111 1111                             
 0763     07      0    1   1        11111111 1111                             
 0765     08      0    1   1        11111111 1111                             
 0767     09      0    1   1        11111111 1111                             
 0769     0A      0    1   1        11111111 1111                             
 0771     0B      0    1   1        11111111 1111                             
 0773     0C      0    1   1        11111111 1111                             
 0775     03      F    1   1        11111111 1111                             
 0777     03      F    1   1        11111111 1111                             
 0779     04      F    1   1        11111111 1111                             
 0781     05      F    1   1        11111111 1111                             
 0783     06      F    1   1        11111111 1111                             
 0785     07      F    1   1        11111111 1111                             
 0787     08      F    1   1        11111111 1111                             
 0789     09      F    1   1        11111111 1111                             
 0791     0A      F    1   1        11111111 1111                             
 0793     0B      F    1   1        11111111 1111                             
 0795     0C      F    1   1        11111111 1111                             
 0797     09      0    1   1        11111111 1111                             
 0799     0A      0    1   1        11111111 1111                             
 0801     0B      0    1   1        11111111 1111                             
 0803     03      F    1   1        11111111 1111                             
 0805     04      F    1   1        11111111 1111                             
 0807     05      F    1   1        11111111 1111                             
 0809     06      F    1   1        11111111 1111                             
 0811     07      F    1   1        11111111 1111                             
 0813     08      F    1   1        11111111 1111                             
 0815     09      F    1   1        11111111 1111                             
 0817     0A      F    1   1        11111111 1111                             
