 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0148     05      F    1   1        11111111 1111                             
 0149     05      F    1   1        11111111 1111                             
 0150     06      F    1   1        11111111 1111                             
 0151     06      F    1   1        11111111 1111                             
 0152     07      F    1   1        11111111 1111                             
 0153     07      F    1   1        11111111 1111                             
 0154     08      F    1   1        11111111 1111                             
 0155     08      F    1   1        11111111 1111                             
 0156     09      F    1   1        11111111 1111                             
 0157     09      F    1   1        11111111 1111                             
 0158     0A      F    1   1        11111111 1111                             
 0159     0A      F    1   1        11111111 1111                             
 0160     0B      F    1   1        11111111 1111                             
 0161     0B      F    1   1        11111111 1111                             
 0162     0C      0    1   1        11111111 1111                             
 0163     0C      0    1   1        11111111 1111                             
 0164     03      C    1   1        11111111 1111                             
 0165     03      C    1   1        11111111 1111                             
 0166     03      0    1   1        11111111 1111                             
 0167     03      0    1   1        11111111 1111                             
 0168     04      0    1   1        11111111 1111                             
 0169     04      0    1   1        11111111 1111                             
 0170     05      0    1   1        11111111 1111                             
 0171     05      0    1   1        11111111 1111                             
 0172     06      0    1   1        11111111 1111                             
 0173     06      0    1   1        11111111 1111                             
 0174     07      0    1   1        11111111 1111                             
 0175     07      0    1   1        11111111 1111                             
 0176     08      0    1   1        11111111 1111                             
 0177     08      0    1   1        11111111 1111                             
 0178     09      0    1   1        11111111 1111                             
 0179     09      0    1   1        11111111 1111                             
 0180     0A      0    1   1        11111111 1111                             
 0181     0A      0    1   1        11111111 1111                             
 0182     0B      0    1   1        11111111 1111                             
 0183     0B      0    1   1        11111111 1111                             
 0184     0C      5    1   1        11111111 1111                             
 0185     0C      5    1   1        11111111 1111                             
 0186     03      C    1   1        11111111 1111                             
 0187     03      C    1   1        11111111 1111                             
 0188     04      0    1   1        11111111 1111                             
 0189     04      0    1   1        11111111 1111                             
 0190     05      8    1   1        11111111 1111                             
 0191     05      8    1   1        11111111 1111                             
 0192     00      B    1   1        11111111 1111                             
 0193     00      B    1   1        11111111 1111                             
 0194     03      C    1   1        11111111 1111                             
 0195     03      C    1   1        11111111 1111                             
 0196     04      0    1   1        11111111 1111                             
 0197     04      0    1   1        11111111 1111                             
 0198     05      8    1   1        11111111 1111                             
 0199     05      8    1   1        11111111 1111                             
 0200     03      F    1   1        11111111 1111                             
 0201     03      0    1   1        11111111 1111                             
 0202     04      0    1   1        11111111 1111                             
 0203     04      0    1   1        11111111 1111                             
 0204     05      0    1   1        11111111 1111                             
 0205     05      0    1   1        11111111 1111                             
 0206     06      0    1   1        11111111 1111                             
 0207     06      0    1   1        11111111 1111                             
 0208     07      0    1   1        11111111 1111                             
 0209     07      0    1   1        11111111 1111                             
 0210     08      0    1   1        11111111 1111                             
 0211     08      0    1   1        11111111 1111                             
 0212     09      0    1   1        11111111 1111                             
 0213     09      0    1   1        11111111 1111                             
 0214     0A      0    1   1        11111111 1111                             
 0215     0A      0    1   1        11111111 1111                             
 0216     0B      0    1   1        11111111 1111                             
 0217     0B      0    1   1        11111111 1111                             
 0218     0C      0    1   1        11111111 1111                             
 0219     0C      5    1   1        11111111 1111                             
 0220     03      D    1   1        11111111 1111                             
 0221     03      D    1   1        11111111 1111                             
 0222     03      F    1   1        11111111 1111                             
 0223     03      F    1   1        11111111 1111                             
 0224     04      F    1   1        11111111 1111                             
 0225     04      F    1   1        11111111 1111                             
 0226     05      F    1   1        11111111 1111                             
 0227     05      F    1   1        11111111 1111                             
 0228     06      F    1   1        11111111 1111                             
 0229     06      F    1   1        11111111 1111                             
 0230     07      F    1   1        11111111 1111                             
 0231     07      F    1   1        11111111 1111                             
 0232     08      F    1   1        11111111 1111                             
 0233     08      F    1   1        11111111 1111                             
 0234     09      F    1   1        11111111 1111                             
 0235     09      F    1   1        11111111 1111                             
 0236     0A      F    1   1        11111111 1111                             
 0237     0A      F    1   1        11111111 1111                             
 0238     0B      F    1   1        11111111 1111                             
 0239     0B      F    1   1        11111111 1111                             
 0240     0C      F    1   1        11111111 1111                             
 0241     0C      0    1   1        11111111 1111                             
 0242     03      E    1   1        11111111 1111                             
 0243     03      E    1   1        11111111 1111                             
 0244     04      0    1   1        11111111 1111                             
 0245     04      0    1   1        11111111 1111                             
 0246     05      8    1   1        11111111 1111                             
 0247     05      8    1   1        11111111 1111                             
 0248     03      F    1   1        11111111 1111                             
 0249     03      0    1   1        11111111 1111                             
 0250     04      0    1   1        11111111 1111                             
 0251     04      0    1   1        11111111 1111                             
 0252     05      0    1   1        11111111 1111                             
 0253     05      0    1   1        11111111 1111                             
 0254     06      0    1   1        11111111 1111                             
 0255     06      0    1   1        11111111 1111                             
 0256     07      0    1   1        11111111 1111                             
 0257     07      0    1   1        11111111 1111                             
 0258     08      0    1   1        11111111 1111                             
 0259     08      0    1   1        11111111 1111                             
 0260     09      0    1   1        11111111 1111                             
 0261     09      0    1   1        11111111 1111                             
 0262     0A      0    1   1        11111111 1111                             
 0263     0A      0    1   1        11111111 1111                             
 0264     0B      0    1   1        11111111 1111                             
 0265     0B      0    1   1        11111111 1111                             
 0266     0C      0    1   1        11111111 1111                             
 0267     0C      0    1   1        11111111 1111                             
 0268     03      F    1   1        11111111 1111                             
 0269     03      F    1   1        11111111 1111                             
 0270     03      F    1   1        11111111 1111                             
 0271     03      F    1   1        11111111 1111                             
 0272     04      F    1   1        11111111 1111                             
 0273     04      F    1   1        11111111 1111                             
 0274     05      F    1   1        11111111 1111                             
 0275     05      F    1   1        11111111 1111                             
 0276     06      F    1   1        11111111 1111                             
 0277     06      F    1   1        11111111 1111                             
 0278     07      F    1   1        11111111 1111                             
 0279     07      F    1   1        11111111 1111                             
 0280     08      F    1   1        11111111 1111                             
 0281     08      F    1   1        11111111 1111                             
 0282     09      F    1   1        11111111 1111                             
 0283     09      F    1   1        11111111 1111                             
 0284     0A      F    1   1        11111111 1111                             
 0285     0A      F    1   1        11111111 1111                             
 0286     0B      F    1   1        11111111 1111                             
 0287     0B      F    1   1        11111111 1111                             
 0288     0C      F    1   1        11111111 1111                             
 0289     0C      F    1   1        11111111 1111                             
 0290     09      0    1   1        11111111 1111                             
 0291     09      0    1   1        11111111 1111                             
 0292     0A      0    1   1        11111111 1111                             
 0293     0A      0    1   1        11111111 1111                             
 0294     0B      0    1   1        11111111 1111                             
 0295     0B      0    1   1        11111111 1111                             
 0296     01      B    1   1        11111111 1111                             
 0297     01      B    1   1        11111111 1111                             
 0298     02      B    1   1        11111111 1111                             
 0299     02      B    1   1        11111111 1111                             
