 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE   
 0182     74      F    01101 1111                                             
 0183     73      F    01101 1111                                             
 0184     7E      0    01101 1111                                             
 0185     7D      0    01101 1111                                             
 0186     7C      0    01101 1111                                             
 0187     7B      0    01101 1111                                             
 0188     7A      0    01101 1111                                             
 0189     79      0    01101 1111                                             
 0190     78      0    01101 1111                                             
 0191     77      0    01101 1111                                             
 0192     76      0    01101 1111                                             
 0193     75      0    01101 1111                                             
 0194     74      0    01101 1111                                             
 0195     73      0    01101 1111                                             
 0196     75      E    01110 1111                                             
 0197     75      5    01110 1111                                             
 0198     75      F    01110 1111                                             
 0199     75      0    01110 1111                                             
 0200     75      0    01110 1111                                             
 0201     74      0    01110 1111                                             
 0202     73      0    01110 1111                                             
 0203     7B      2    01111 1111                                             
 0204     7A      4    01111 1111                                             
 0205     7C      4    01101 1111                                             
 0206     7B      F    01101 1111                                             
 0207     7A      F    01101 1111                                             
 0208     79      F    01101 1111                                             
 0209     78      F    01101 1111                                             
 0210     77      F    01101 1111                                             
 0211     75      2    01101 1111                                             
 0212     75      2    01101 1111                                             
 0213     75      2    01101 1111                                             
 0214     74      0    01101 1111                                             
 0215     73      0    01101 1111                                             
 0216     7C      0    01101 1111                                             
 0217     7B      0    01101 1111                                             
 0218     7A      0    01101 1111                                             
 0219     79      0    01101 1111                                             
 0220     78      0    01101 1111                                             
 0221     77      0    01101 1111                                             
 0222     76      0    01101 1111                                             
 0223     75      0    01101 1111                                             
 0224     74      4    01101 1111                                             
 0225     73      4    01101 1111                                             
 0226     79      F    01111 1111                                             
 0227     78      F    01111 1111                                             
 0228     7E      9    01110 1111                                             
 0229     7D      B    01110 1111                                             
 0230     7C      B    01110 1111                                             
 0231     7B      F    01110 1111                                             
 0232     7A      F    01110 1111                                             
 0233     79      F    01110 1111                                             
 0234     78      F    01110 1111                                             
 0235     77      F    01110 1111                                             
 0236     76      F    01110 1111                                             
 0237     75      2    01110 1111                                             
 0238     74      0    01110 1111                                             
 0239     73      0    01110 1111                                             
 0240     7E      0    01110 1111                                             
 0241     7D      0    01110 1111                                             
 0242     7C      0    01110 1111                                             
 0243     7B      0    01110 1111                                             
 0244     7A      0    01110 1111                                             
 0245     79      0    01110 1111                                             
 0246     78      0    01110 1111                                             
 0247     77      0    01110 1111                                             
 0248     76      0    01110 1111                                             
 0249     75      0    01110 1111                                             
 0250     74      4    01110 1111                                             
 0251     73      4    01110 1111                                             
 0252     7E      B    01101 1111                                             
 0253     7D      B    01101 1111                                             
 0254     7C      B    01101 1111                                             
 0255     7B      F    01101 1111                                             
 0256     7A      F    01101 1111                                             
 0257     79      F    01101 1111                                             
 0258     78      F    01101 1111                                             
 0259     77      F    01101 1111                                             
 0260     76      F    01101 1111                                             
 0261     75      F    01101 1111                                             
 0262     74      F    01101 1111                                             
 0263     73      F    01101 1111                                             
