 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE    
 0181     76      0    101001 1111                                            
 0182     75      0    101001 1111                                            
 0183     74      0    101001 1111                                            
 0184     73      0    101001 1111                                            
 0185     7C      F    101101 1111                                            
 0186     7B      F    101101 1111                                            
 0187     7A      F    101101 1111                                            
 0188     79      F    101101 1111                                            
 0189     78      F    101101 1111                                            
 0190     77      F    101101 1111                                            
 0191     76      F    101101 1111                                            
 0192     75      F    101101 1111                                            
 0193     74      F    101101 1111                                            
 0194     73      F    101101 1111                                            
 0195     7C      F    101110 1111                                            
 0196     7B      F    101110 1111                                            
 0197     7A      F    101110 1111                                            
 0198     79      F    101110 1111                                            
 0199     78      F    101110 1111                                            
 0200     77      F    101110 1111                                            
 0201     76      F    101110 1111                                            
 0202     75      F    101110 1111                                            
 0203     74      F    101010 1111                                            
 0204     73      F    101010 1111                                            
 0205     7E      0    101010 1111                                            
 0206     7D      0    101010 1111                                            
 0207     7C      0    101010 1111                                            
 0208     7B      0    101010 1111                                            
 0209     7A      0    101010 1111                                            
 0210     79      0    101010 1111                                            
 0211     78      0    101010 1111                                            
 0212     77      0    101010 1111                                            
 0213     76      0    101010 1111                                            
 0214     75      0    101010 1111                                            
 0215     74      0    101010 1111                                            
 0216     73      0    101010 1111                                            
 0217     7C      F    101101 1111                                            
 0218     7B      F    101101 1111                                            
 0219     7A      F    101101 1111                                            
 0220     79      F    101101 1111                                            
 0221     78      F    101101 1111                                            
 0222     77      F    101101 1111                                            
 0223     76      F    101101 1111                                            
 0224     75      F    101101 1111                                            
 0225     74      F    101101 1111                                            
 0226     73      F    101101 1111                                            
 0227     7E      0    101101 1111                                            
 0228     7D      0    101101 1111                                            
 0229     7C      0    101101 1111                                            
 0230     7B      0    101101 1111                                            
 0231     7A      0    101101 1111                                            
 0232     79      0    101101 1111                                            
 0233     78      0    101101 1111                                            
 0234     77      0    101101 1111                                            
 0235     76      0    101101 1111                                            
 0236     75      0    101001 1111                                            
 0237     74      0    101001 1111                                            
 0238     73      0    101001 1111                                            
