 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7595     78      F    1011111                                                
 7596     77      F    1011111                                                
 7597     76      F    1011111                                                
 7598     75      F    1011111                                                
 7599     74      F    1011111                                                
 7600     73      F    1011111                                                
 7601     7E      0    1011111                                                
 7602     7D      0    1011111                                                
 7603     7C      0    1011111                                                
 7604     7B      0    1011111                                                
 7605     7A      0    1011111                                                
 7606     79      0    1011111                                                
 7607     78      0    1011111                                                
 7608     77      0    1011111                                                
 7609     76      0    1011111                                                
 7610     75      0    1011111                                                
 7611     74      0    1011111                                                
 7612     73      0    1011111                                                
 7613     75      0    1101111                                                
 7614     74      0    1101111                                                
 7615     73      0    1101111                                                
 7616     7E      0    1101111                                                
 7617     7D      B    1101111                                                
 7618     7C      B    1101111                                                
 7619     7B      F    1101111                                                
 7620     7A      0    1101111                                                
 7621     79      0    1101111                                                
 7622     78      F    1101111                                                
 7623     77      8    1101111                                                
 7624     76      0    1101111                                                
 7625     75      0    1101111                                                
 7626     74      0    1101111                                                
 7627     73      0    1101111                                                
 7628     7E      0    1101111                                                
 7629     7D      0    1101111                                                
 7630     7C      0    1101111                                                
 7631     7B      0    1101111                                                
 7632     7A      0    1101111                                                
 7633     79      0    1101111                                                
 7634     78      0    1101111                                                
 7635     77      0    1101111                                                
 7636     76      4    1101111                                                
 7637     75      4    1101111                                                
 7638     74      4    1101111                                                
 7639     73      4    1101111                                                
 7640     7E      A    1011111                                                
 7641     7D      A    1011111                                                
 7642     7C      B    1011111                                                
 7643     7B      F    1011111                                                
 7644     7A      F    1011111                                                
 7645     79      F    1011111                                                
 7646     78      F    1011111                                                
 7647     77      F    1011111                                                
 7648     76      F    1011111                                                
 7649     75      F    1011111                                                
 7650     74      F    1011111                                                
 7651     73      F    1011111                                                
 7652     7E      0    1011111                                                
 7653     7D      0    1011111                                                
 7654     7C      0    1011111                                                
 7655     7B      0    1011111                                                
 7656     7A      0    1011111                                                
 7657     79      0    1011111                                                
 7658     78      0    1011111                                                
 7659     77      0    1011111                                                
 7660     76      0    1011111                                                
 7661     75      0    1011111                                                
 7662     74      0    1011111                                                
 7663     73      0    1011111                                                
 7664     7E      B    1101111                                                
 7665     7D      B    1101111                                                
 7666     7C      B    1101111                                                
 7667     7B      F    1101111                                                
 7668     7A      0    1101111                                                
 7669     79      0    1101111                                                
 7670     78      F    1101111                                                
 7671     77      8    1101111                                                
 7672     76      0    1101111                                                
 7673     75      0    1101111                                                
 7674     74      0    1101111                                                
 7675     73      0    1101111                                                
 7676     7E      0    1101111                                                
 7677     7D      0    1101111                                                
 7678     7C      0    1101111                                                
 7679     7B      0    1101111                                                
 7680     7A      0    1101111                                                
 7681     79      0    1101111                                                
 7682     78      0    1101111                                                
 7683     77      0    1101111                                                
 7684     76      4    1101111                                                
 7685     75      4    1101111                                                
 7686     74      4    1101111                                                
 7687     73      4    1101111                                                
 7688     7E      B    1011111                                                
 7689     7D      B    1011111                                                
 7690     7C      B    1011111                                                
 7691     7B      F    1011111                                                
 7692     7A      F    1011111                                                
 7693     79      F    1011111                                                
 7694     78      F    1011111                                                
 7695     77      F    1011111                                                
 7696     76      F    1011111                                                
 7697     75      F    1011111                                                
 7698     74      F    1011111                                                
 7699     73      F    1011111                                                
 7700     7E      0    1011111                                                
 7701     7D      0    1011111                                                
 7702     7C      0    1011111                                                
 7703     7B      0    1011111                                                
 7704     7A      0    1011111                                                
 7705     79      0    1011111                                                
 7706     78      0    1011111                                                
 7707     77      0    1011111                                                
 7708     76      0    1011111                                                
 7709     75      0    1011111                                                
 7710     74      0    1011111                                                
 7711     73      0    1011111                                                
 7712     75      0    1101111                                                
 7713     74      0    1101111                                                
 7714     73      0    1101111                                                
 7715     7E      0    1101111                                                
 7716     7D      B    1101111                                                
 7717     7C      B    1101111                                                
 7718     7B      F    1101111                                                
 7719     7A      0    1101111                                                
 7720     79      0    1101111                                                
 7721     78      F    1101111                                                
 7722     77      8    1101111                                                
 7723     76      0    1101111                                                
 7724     75      0    1101111                                                
 7725     74      0    1101111                                                
 7726     73      0    1101111                                                
 7727     7E      0    1101111                                                
 7728     7D      0    1101111                                                
 7729     7C      0    1101111                                                
